"","state","year","grade","perind","perasn","perhsp","perblk","perwht","perfrl","pernonfrl","perell","perspeced","ind","asn","hsp","blk","wht","frl","nonfrl","totenrl","nsch","ncharters","gslo","gshi","speced","ell","elmtch","tottch","aides","corsup","elmgui","stutch_wht","stutch_blk","stutch_hsp","stutch_all","diffstutch_blkwht","diffstutch_hspwht","ratstutch_whtblk","ratstutch_whthsp","flunch_wht","flunch_blk","flunch_hsp","flunch_all","diffexplch_blkwht","diffexplch_hspwht","percharter_all","percharter_wht","percharter_blk","percharter_hsp","hswhtblk","hswhthsp","hsflnfl","ppexp_tot","ppexp_inst","pprev_tot","totppe_fleslope","instppe_fleslope","baplus_wht","poverty517_wht","snap_wht","singmom_wht","samehouse_wht","unemp_wht","baplus_hsp","poverty517_hsp","snap_hsp","singmom_hsp","samehouse_hsp","unemp_hsp","baplus_blk","poverty517_blk","snap_blk","singmom_blk","samehouse_blk","unemp_blk","baplus_all","poverty517_all","singmom_all","snap_all","samehouse_all","unemp_all","pctenglish","pctforeign","pctmexico","pctpuerto","pctcuba","pctcentral","pctsouth","inc50all","incrat9010all","incrat9050all","incrat5010all","inc50blk","incrat9010blk","incrat9050blk","incrat5010blk","inc50hsp","incrat9010hsp","incrat9050hsp","incrat5010hsp","inc50wht","incrat9010wht","incrat9050wht","incrat5010wht","giniall","giniwht","giniblk","ginihsp","paredVblkwht","paredVhspwht","incVblkwht","incVhspwht","baplus_mal","baplus_fem","pov_mal","pov_fem","occbus_mal","occbus_fem","occsci_mal","occsci_fem","occeduc_mal","occeduc_fem","occhealth_mal","occhealth_fem","occserv_mal","occserv_fem","occsales_mal","occsales_fem","occtrade_mal","occtrade_fem","inlf_mal","inlf_fem","unemp_mal","unemp_fem","incVmalfem","educVmalfem","teenbirth_all","sesall","seswht","sesblk","seshsp","sesallimp1","sesallimp2","seswhtimp1","seswhtimp2","sesblkimp1","sesblkimp2","seshspimp1","seshspimp2","gstdmn_ela","gstdmnva_ela","gstdmn_math","gstdmnva_math"
"1","AK",2009,3,NA,NA,NA,NA,NA,NA,NA,0.124025967,0.135922468,43.88679245,9.773584906,12.50943396,6.905660377,95.52830189,57.5494665,129.4694018,187.0188679,9.41509434,0.452830189,0.056603774,13,332.8867925,225.2264151,68.04528319,149.1075468,41.25660422,NA,1.639622661,24.00177805,NA,NA,22.14344026,NA,NA,NA,NA,0.303145482,NA,NA,0.346586637,NA,NA,0.008342682,0.01781948,NA,NA,NA,NA,NA,26973.60029,12189.26946,26991.12046,38401.422,11527.317,0.374864743,NA,NA,NA,NA,0.03970436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195863719,NA,NA,NA,NA,0.088481059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168341452,0.217155173,0.138332258,0.140636205,0.138558979,0.150072888,0.054448993,0.025782031,0.066624236,0.190641687,0.014094606,0.040736566,0.143848319,0.200942161,0.105955178,0.315877926,0.269761272,0.013218948,0.817552257,0.757492561,0.142101008,0.090127692,0.350734727,-0.142746389,NA,NA,NA,NA,NA,0,0,0,0,0.037735849,0.056603774,0,0.056603774,NA,NA,NA,NA
"2","AL",2009,3,0.005574279,0.008508981,0.04537981,0.354461187,0.586075743,0.522421014,0.477578986,NA,0.010343583,3.242424242,5.568181818,20.62121212,155.1666667,261.9015152,214.0365193,232.4634808,446.5,10.15151515,0,0.378787879,12.97727273,53.26515152,NA,166.4651515,362.2484849,5.285606054,60.69848488,7.50378788,15.85384164,15.75272454,NA,15.81828021,-0.101117127,NA,1.007736557,NA,0.463018974,0.507424764,NA,0.485687194,0.04440579,NA,0,0,0,NA,NA,NA,0.051162969,NA,NA,NA,-283.90408,-873.57135,0.214127014,0.151785861,0.16020988,0.225079479,0.845188402,0.050816132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19729305,0.244392035,0.339997723,0.245799769,0.847044404,0.050070839,NA,NA,NA,NA,NA,NA,NA,45317.49778,11.7506871,2.577848383,4.462818342,NA,NA,NA,NA,NA,NA,NA,NA,57629.26592,8.8997617,2.233557876,3.937159409,0.412176803,0.358851226,NA,NA,NA,NA,NA,NA,0.188623875,0.179951485,0.170079455,0.213418859,0.114652614,0.094657804,0.046557608,0.017074502,0.054632797,0.130663008,0.02221772,0.089337573,0.122595401,0.201974022,0.149100023,0.344027581,0.218939473,0.013491096,0.769565082,0.648790995,0.069598021,0.077903222,0.454513949,-0.009689523,0.032393944,-0.764930868,-0.025411285,NA,NA,0,0,0,0,0.007575758,0,0.015151515,0.090909091,2.955567621,0.11011451,2.007570805,0.065415154
"3","AR",2009,3,0.006974602,0.008057624,0.055991137,0.162080038,0.766896599,0.543162335,0.456837666,0.026656265,0.117748277,1.115226337,2.633744856,14.04115226,32.63374486,98.83539095,77.27763679,71.98162258,149.2592593,4.300411523,0.12345679,0.559670782,13,221.7242798,113.6954733,63.65843621,150.5967078,31.62139918,3.329218107,2.613168724,12.23038195,NA,NA,12.22488212,NA,NA,NA,NA,0.49416228,NA,NA,0.498146077,NA,NA,0.005395389,0.007120687,NA,NA,NA,NA,0.012133558,9586.23978,4950.166152,9447.587211,2241.7666,1413.6091,0.147773573,NA,NA,NA,NA,0.052551424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14528084,NA,NA,NA,NA,0.046733152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133143368,0.140540765,0.163994538,0.202229987,0.11977683,0.092309651,0.026857007,0.011452517,0.043882396,0.131585734,0.018317385,0.086068212,0.110378644,0.225324898,0.135208622,0.331701917,0.254329767,0.012517942,0.765933336,0.661881867,0.06617048,0.070001034,0.465936882,-0.098979439,0.050599177,NA,NA,NA,NA,0,0,0,0,0,0.057613169,0.016460905,0.115226337,NA,NA,NA,NA
"4","AZ",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.15463918,13.02061856,187.6030928,25.35051546,186.6752577,181.4066385,249.4644961,434.8041237,9.432989691,2.386597938,0.206185567,10.95876289,NA,NA,182.2087628,256.3262888,74.93865972,0.570103093,3.456701043,NA,NA,NA,14.86807013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054518441,NA,NA,NA,NA,NA,NA,12047.44227,5528.857078,11712.32851,-787.44739,-78.48996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184069974,0.172396934,0.17818551,0.201651357,0.130942062,NA,0.04664212,NA,0.061613938,NA,0.018522523,NA,0.166031604,NA,0.143457434,NA,0.272813896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.010309278,0,0.030927835,0.046391753,0,0.036082474,NA,NA,NA,NA
"5","CA",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.634615385,59.34954751,268.5339367,36.11312217,137.4015837,249.5049876,276.9282702,529.3404977,10.20022624,0.823529412,0.998868778,10.61425339,NA,NA,200.6235282,303.7115369,63.79751131,6.194117628,2.86063349,NA,NA,NA,18.15082888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1827.2056,356.77084,0.288089162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258706831,NA,NA,NA,NA,0.058305926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255163076,0.248105325,0.126573895,0.145998702,0.160605676,0.134414565,0.061599149,0.026236218,0.064622988,0.141826094,0.022567486,0.062983389,0.140020315,0.213202888,0.152517923,0.333721467,0.246063239,0.032407498,0.811317422,0.663660633,0.082445633,0.082525906,NA,NA,NA,NA,NA,NA,NA,0,0,0.001131222,0,0.022624434,0.044117647,0.001131222,0.015837104,NA,NA,NA,NA
"6","CO",2009,3,0.015372686,0.011692083,0.251899805,0.016128913,0.704906516,0.339578258,0.660421742,0.063216316,NA,4.039325843,12.95505618,107.0168539,21.01123596,205.8595506,111.4623332,239.4196894,350.8820225,9.601123596,0.831460674,0.101123596,13,NA,495.8089888,129.7213478,270.96629,82.934831,11.9713484,1.985955054,13.73420587,NA,13.76045502,13.7354595,NA,0.026249155,NA,1.003066061,0.300199401,NA,0.324197619,0.309131257,NA,0.023998218,0.023691546,0.026699073,NA,0.017982337,NA,NA,0.029490704,12382.62792,5650.370325,12341.37375,3303.3396,480.86636,0.270863279,NA,NA,NA,NA,0.04292398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256334251,NA,NA,NA,NA,0.039076281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24433369,0.250406189,0.116904661,0.136249604,0.195775264,0.142505202,0.050788133,0.019342932,0.056315617,0.1422343,0.015206114,0.070705613,0.124587862,0.219563307,0.124308098,0.329640278,0.272965715,0.027446695,0.835267362,0.718725205,0.050274983,0.055666208,0.478458903,-0.065681831,NA,NA,NA,NA,NA,0,0,0.005617978,0,0.028089888,0.073033708,0.005617978,0.04494382,NA,NA,NA,NA
"7","CT",2009,3,0.004536941,0.040511166,0.08616549,0.066261505,0.802524899,NA,NA,0.025465839,0.127519657,0.846153846,12.53846154,47.08974359,35.48717949,166.0641026,69.07569667,187.82815,262.025641,5.974358974,0.102564103,0.064102564,11.70512821,422.7179487,184.9294872,182.3705132,283.0955126,79.48525643,NA,NA,13.02229197,NA,NA,13.01392782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002977438,0.002468262,NA,NA,NA,NA,NA,16503.93665,8839.957624,16764.98807,4694.8174,590.37134,0.384645535,NA,NA,NA,NA,0.048707185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40386346,NA,NA,NA,NA,0.042061919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382670812,0.371071622,0.052310049,0.062980933,0.189366524,0.150774197,0.089224305,0.032343905,0.084778236,0.178555463,0.028864633,0.094967795,0.129216469,0.174205978,0.172989181,0.319508014,0.163019438,0.005798855,0.88582731,0.780750985,0.052120647,0.052200516,0.482549579,0.009842506,0.011966539,NA,NA,NA,NA,0,0,0,0,0.019230769,0.070512821,0,0.102564103,NA,NA,NA,NA
"8","DC",2009,3,0.001368363,0.022988506,0.13793103,0.7474001,0.090311989,0.64573705,0.35426292,0.09857662,0.18959644,5,84,504,2731,330,2328.205066,1277.29498,3654,133,0,0,13,8405,4370,1616,3552,794,281,58,13.27933,10.790714,11.896362,11.065307,-2.488616,-1.3829679,1.2306257,1.1162513,0.16886328,0.68098211,0.62959933,0.62762958,0.51211882,0.46073604,0,0,0,0,0.68266708,0.68990833,0.29226434,21047.67,8937.6367,21039.543,5436.5073,-419.57263,0.87086558,0.035578147,0.017944535,0.18923327,0.91276866,0.024563583,0.35900784,0.20028308,0.14710042,0.33663365,0.8556338,0.057999477,0.20590098,0.41964102,0.38654709,0.71408069,0.82853645,0.13531369,0.52161431,0.29640165,0.62333995,0.32311389,0.83891213,0.065401129,0.58099687,0.19577464,0.15845071,0.03943662,0.023943663,0.57323945,0.068309858,38766.094,23.147177,3.6566026,6.3302412,33940.715,21.602394,3.2441709,6.6588335,40196.039,8.537323,3.2341435,2.6397479,155090.81,4.6739001,1.7421553,2.6828263,0.50985479,0.26626807,0.49380678,0.4383606,1.9769036,1.227633,1.7662988,1.5466217,0.50766492,0.47811577,0.1676973,0.19962348,0.22750486,0.22480711,0.11101165,0.072908297,0.21174021,0.24513781,0.020649459,0.03981211,0.15124202,0.16443564,0.14295033,0.22737458,0.061677769,0.003913268,0.83354133,0.79148775,0.081884652,0.083411485,0.19055885,0.068038546,0.031677559,-1.3685539,2.1268048,-2.9724045,-0.38920999,0,0,0,0,0,0,0,0,1.3883363,0.055138014,1.3977278,0.002802505
"9","DE",2009,3,0.004313179,0.027003882,0.108541933,0.316334869,0.543806138,0.393852941,0.606147071,0.056022529,0.1631748,2.466666667,23.13333333,79.86666667,214.5333333,313.8666667,239.4142559,388.5190788,633.8666667,12.93333333,1.2,0,13,1166.6,470,228.1866691,479.453332,95.3466674,17.2599998,5.733333333,15.71575633,15.3875374,15.45848367,15.58104947,-0.328219031,-0.257272851,1.020965091,1.016561407,0.328547541,0.380616263,0.393082299,0.354927835,0.05206872,0.064534758,0.05312424,0.052921589,0.052845916,0.031387177,0.107508843,0.110697225,0.064644452,14546.5514,7271.136467,14542.71613,4722.4028,4022.0186,0.245601879,0.098076778,0.113499342,0.224209493,0.89171851,0.04655271,0.126140218,0.234710688,0.244690466,0.213807388,0.878639453,0.072121603,0.188171157,0.320995602,0.344161643,0.556944996,0.819071053,0.080024691,0.246511289,0.147318467,0.3086182,0.184787719,0.867706919,0.043546525,0.571629615,0.142289809,0.429538951,0.312012499,0.019041486,0.149412985,0.052677027,59399.70727,9.21249496,2.30589506,3.959087033,39998.35353,11.50444993,2.74352752,4.27363686,45990.0488,NA,NA,2.711681073,71452.31787,7.836399273,2.017197147,3.94348524,0.380553913,0.338586603,0.412241681,0.346499405,0.123915904,0.662786818,0.690291947,0.566416171,0.235980027,0.229615733,0.09427009,0.125117624,0.149023584,0.128683943,0.062124078,0.022558707,0.062591927,0.132375376,0.021505327,0.09153301,0.144430193,0.213759254,0.169090718,0.338413561,0.215093758,0.010236223,0.820575325,0.727517053,0.058115796,0.058582392,0.374980573,-0.026200639,0.016086185,-0.084781056,0.400395897,-1.8659642,-0.789121165,0,0,0,0,0,0,0,0,3.66003972,0.027078724,3.0835015,0.016323163
"10","FL",2009,3,0.003895667,0.015470025,0.15421424,0.1906324,0.59626719,0.479400394,0.520599607,0.044182181,0.166230967,9.223880597,75.7761194,815.0149254,736.7014925,1336.447761,1493.971406,1773.622118,3113.358209,53.68656716,5.537313433,0,13,5702.656716,3373.686567,945.5149254,2761.559701,426.0298507,9.582089552,29.01492537,15.79380396,15.40439926,15.60866212,15.65574789,-0.389404665,-0.185141862,1.027197819,1.011816565,0.392602765,0.467547994,0.448083529,0.423419689,0.074945229,0.055480764,0.031737843,0.031484309,0.025408183,0.027088632,0.167573495,0.105804343,0.083679845,11590.26363,5250.322322,11208.15684,2012.9302,1223.1467,0.215743916,0.148913086,0.125570198,0.232864943,0.855983233,0.061184421,0.142508745,NA,NA,NA,NA,0.074384327,0.124366252,0.381746133,0.320087125,0.543337967,0.774169784,0.087190507,0.196994366,0.191234392,0.292896263,0.172819667,0.834856906,0.055512158,NA,NA,NA,NA,NA,NA,NA,49478.15287,9.263067915,2.420221421,3.83497751,32579.08266,NA,NA,4.128525354,NA,NA,NA,NA,58971.5529,7.66441384,2.2482154,3.451351703,0.398228522,0.370766223,0.388829372,NA,0.338330556,0.489084917,NA,NA,0.199805012,0.190314972,0.146880698,0.172810537,0.127847717,0.111940332,0.043552188,0.017208341,0.054746775,0.13048198,0.022207318,0.078103376,0.179642627,0.235131208,0.164670572,0.364328212,0.249636741,0.018080866,0.728745707,0.673708891,0.083168956,0.081612076,0.328375438,-0.078869221,0.028684126,-0.388837643,-0.024855852,-2.171537826,NA,0,0,0,0,0,0,0,0.014925373,3.989271222,0.037945827,3.54061964,0.031154383
"11","GA",2009,3,0.00164636,0.01149929,0.074931708,0.348834555,0.531933324,0.544185631,0.455814369,0.028420965,0.114309544,1.155555556,23.17222222,82.59444444,269.7833333,324.4166667,361.5287436,397.0658813,728.8222222,11.95,0.333333333,0.011111111,12.95,988.4444444,455.5555556,343.5566666,657.8438895,153.451111,10.57222218,8.633333346,14.4438353,NA,NA,14.38954491,NA,NA,NA,NA,0.48195159,NA,NA,0.505207312,NA,NA,0.013117239,0.016611891,NA,NA,NA,NA,0.038926019,11645.22694,6231.164816,11183.22581,2834.2029,439.62616,0.201620821,NA,NA,NA,NA,0.049209434,NA,NA,NA,NA,NA,NA,0.10498016,NA,NA,NA,NA,0.087136419,0.172158333,NA,NA,NA,NA,0.050561062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162162813,0.168821293,0.179644833,0.219608515,0.116273518,0.100191556,0.038458184,0.014964529,0.051216473,0.13619539,0.018963926,0.080385939,0.133922129,0.213560979,0.143261851,0.336783076,0.244630059,0.013876392,0.763125835,0.662188179,0.070544105,0.074992245,0.404302849,-0.091591072,0.038246219,NA,NA,NA,NA,0,0,0,0,0.005555556,0.022222222,0,0.061111111,NA,NA,NA,NA
"12","HI",2009,3,0.008568619,0.72215199,0.048391629,0.025635622,0.19525214,0.31113428,0.68886572,0.10343329,0.1121586,122,10282,689,365,2780,4429.929691,9808.070333,14238,288,31,0,13,20130,18564,5140.3999,11294.2,2230.3,616,272.5,19.620275,17.762501,17.507736,19.051119,-1.8577747,-2.1125393,1.1045897,1.1206632,0.2534183,0.23140381,0.28277844,0.29699674,-0.022014484,0.029360145,0.040845901,0.057371181,0.028864503,0.02890728,0.20050286,0.12257701,0.13241147,12464.955,7125.3882,14128.657,NA,NA,0.41955283,0.12143439,0.064291053,0.23598306,0.76641548,0.038847189,0.17451504,0.17139874,0.20214321,0.34680954,0.7862829,0.066917263,0.24285714,0.15630884,0.037383176,0.18457943,0.67542213,0.049455985,0.31328946,0.11352862,0.23967719,0.12813149,0.85927039,0.035594709,0.094491437,0.030618494,0.2935293,0.38436416,0.009185548,0.021228822,0.016738109,71322.211,8.1432819,2.22333,3.6626511,72213.477,5.1015358,1.843488,2.767328,48771.566,9.5580406,2.536943,3.7675426,76176.797,8.1619186,2.2483759,3.6301398,0.37546018,0.37295058,0.31905645,0.40232444,0.30547735,0.69102347,0.13472636,0.47259507,0.29010245,0.29857132,0.086027436,0.1057548,0.13729921,0.12850188,0.058769424,0.022575621,0.077667862,0.14895171,0.028352227,0.063059844,0.21326759,0.22276062,0.16791134,0.36278397,0.19388184,0.011904453,0.85427254,0.75669521,0.05274022,0.040357217,0.35482818,-0.007040163,0.025066409,0.49213073,0.7337234,0.48330638,-0.62259382,0,0,0,0,0,0,0,0,2.4272642,0.009435331,2.8423264,0.010693603
"13","IA",2009,3,0.002658568,0.01092543,0.049594635,0.018910445,0.917910921,0.262536317,0.737463684,0.020133044,0.139119975,0.511235955,2.424157303,8.042134831,6.247191011,81.61235955,29.36063587,69.47644298,98.83707865,3.93258427,0.016853933,0.103932584,12.65449438,188.0477528,57.11797753,43.30112365,99.16039283,28.81376415,1.108146067,2.349719101,13.3035058,NA,NA,13.2986301,NA,NA,NA,NA,0.228263318,NA,NA,0.229957791,NA,NA,0.000385243,0.000324895,NA,NA,NA,NA,0.007681276,11038.44103,5683.25254,11520.55524,-34.121212,1948.7236,0.19200785,NA,NA,NA,NA,0.038716401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214564963,NA,NA,NA,NA,0.030369129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183517653,0.196950835,0.082427224,0.1084742,0.182967103,0.110413626,0.039659591,0.017606462,0.046563839,0.128365369,0.014337414,0.089420671,0.09298413,0.226476519,0.136336935,0.325273523,0.211218047,0.012751512,0.884700024,0.803269693,0.038322665,0.035494672,0.520996501,-0.112720802,0.019754755,NA,NA,NA,NA,0,0,0,0,0.030898876,0.081460674,0.008426966,0.165730337,NA,NA,NA,NA
"14","ID",2009,3,NA,NA,NA,NA,NA,NA,NA,0.067667342,NA,2.852173913,3.243478261,27.79130435,2.373913043,148.9826087,57.68562199,127.5578558,185.2434783,5.852173913,0.260869565,0.095652174,12.77391304,NA,153.5391304,61.46434763,129.4765222,24.87565187,2.203478259,1.849565228,15.65514656,NA,NA,15.65444644,NA,NA,NA,NA,0.33136437,NA,NA,0.333225272,NA,NA,0.014989624,0.016041041,NA,NA,NA,NA,NA,9900.254107,5425.835277,10327.10235,438.86035,-67.143471,0.197118718,NA,NA,NA,NA,0.04781661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190955959,NA,NA,NA,NA,0.042707514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188534163,0.183618141,0.122596329,0.154619039,0.167077099,NA,0.043719653,NA,0.043484003,NA,0.017283965,NA,0.108592702,NA,0.108249362,NA,0.314304168,NA,0.83713438,0.66362507,0.061490669,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.034782609,0.086956522,0,0.043478261,NA,NA,NA,NA
"15","IL",2009,3,0.001602567,0.02486146,0.080934488,0.085206624,0.774620701,NA,NA,0.038027064,0.171934137,0.347769029,8.867454068,45.82545932,40.56955381,102.980315,80.88273734,123.2995058,205.1889764,4.712598425,0.051181102,0.140419948,10.98950131,367.148294,256.8503937,108.8173227,151.0825459,NA,NA,NA,NA,NA,NA,14.9789276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000373743,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.91367,77.328369,0.231079232,NA,NA,NA,NA,0.057563207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251248153,NA,NA,NA,NA,0.050499442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230347948,0.227772978,0.092722586,0.113590762,0.151813252,0.115324678,0.053499409,0.020132253,0.053056988,0.129745795,0.02054114,0.093538469,0.124702899,0.206401325,0.157827071,0.354094168,0.193912604,0.007567662,0.851427047,0.740967916,0.070417303,0.059837647,0.515250007,-0.029184985,NA,NA,NA,NA,NA,0,0,0.003937008,0.001312336,0.014435696,0.06167979,0.011811024,0.143044619,NA,NA,NA,NA
"16","IN",2009,3,0.002269753,0.009048978,0.046257359,0.035887163,0.872397306,0.325032784,0.674967216,0.026597618,0.169215649,0.726027397,4.390410959,20.22260274,33.84589041,200.609589,110.1064615,178.4479498,273.5787671,6.356164384,0.171232877,0.414383562,12.98630137,593.8561644,155.9143836,97.91438356,206.8869863,74.34589041,6.363013699,1.839041096,17.42745059,NA,NA,17.41574674,NA,NA,NA,NA,0.276678699,NA,NA,0.280136925,NA,NA,0.003576696,0.003467598,NA,NA,NA,NA,0.023837143,9939.018806,4998.196859,10289.19473,6828.0127,3383.9841,0.17815894,0.137728288,0.131832796,0.206594455,0.867851352,0.06008807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189764378,0.130296345,0.215551281,0.137160948,0.860306585,0.051432334,NA,NA,NA,NA,NA,NA,NA,58754.4432,7.394497889,2.101054323,3.473675603,NA,NA,NA,NA,NA,NA,NA,NA,60464.05542,7.322859354,2.087588022,3.456502378,0.347310219,0.342020163,NA,NA,NA,NA,NA,NA,0.174250542,0.175479345,0.103048874,0.130136702,0.123214695,0.101020903,0.047304753,0.016665278,0.048308758,0.114924341,0.016827796,0.09299965,0.111453067,0.214264066,0.139280978,0.328615068,0.209698108,0.010348088,0.844231485,0.72583035,0.070126991,0.064214321,0.543296049,-0.046825397,0.028200895,0.074965503,0.011861123,NA,NA,0,0,0,0,0.017123288,0.092465753,0.010273973,0.106164384,NA,NA,NA,NA
"17","KS",2009,3,0.01380749,0.007978485,0.080100621,0.026484326,0.866538035,0.327660965,0.672339035,NA,0.158032727,1.934707904,3.508591065,18.3814433,10.43642612,84.2233677,45.78913242,79.27236869,121.5532646,4.663230241,0.120274914,0.058419244,12.9209622,224.4089347,NA,48.9477665,119.4436424,31.58419218,0.276288662,1.187285239,15.41991495,NA,NA,15.93396613,NA,NA,NA,NA,0.28732598,NA,NA,0.289909376,NA,NA,0.015542678,0.01529118,NA,NA,NA,NA,0.013367565,12008.88021,6665.815379,12644.169,1062.6486,772.4043,0.213881477,NA,NA,NA,NA,0.035677334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228219413,NA,NA,NA,NA,0.028916385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20519728,0.208797421,0.097317962,0.124875021,0.197592853,0.109130682,0.036093588,0.012783142,0.053398338,0.157384652,0.016058405,0.090185511,0.100436262,0.231248735,0.121724836,0.316291139,0.245469722,0.016856411,0.871695716,0.769414078,0.036532568,0.036772656,0.537807867,-0.073136217,0.027946939,NA,NA,NA,NA,0,0,0,0,0.027491409,0.099656357,0.013745704,0.175257732,NA,NA,NA,NA
"18","KY",2009,3,0.001413016,0.007365845,0.026491978,0.049852223,0.89297248,0.494672738,0.505327261,0.010910723,0.174175527,0.540229885,4.005747126,11.12643678,31.27011494,240.6896552,140.7515541,161.0076342,296.137931,7.586206897,0,0.068965517,12.88505747,618,83.84482759,112.2431033,249.7023005,80.89482753,5.411494256,NA,16.11014711,NA,NA,16.11314384,NA,NA,NA,NA,0.470088535,NA,NA,0.472835582,NA,NA,0,0,NA,NA,NA,NA,0.020426276,10282.06086,5224.738412,10039.87348,2914.8472,1769.2542,0.155585603,NA,NA,NA,NA,0.060174631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165880035,NA,NA,NA,NA,0.048848865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148826156,0.157555135,0.187594205,0.227736361,0.111392888,0.097166993,0.03570577,0.01141555,0.056599161,0.131721277,0.022315194,0.099835486,0.12131173,0.217679266,0.147303309,0.33411749,0.229426149,0.013229367,0.729692183,0.626426892,0.081644576,0.068419844,0.410506166,-0.102414261,0.037415416,NA,NA,NA,NA,0,0,0,0,0.017241379,0.091954023,0.011494253,0.172413793,NA,NA,NA,NA
